startTime,generation
2024-01-31T23:30:00.000Z,14355
2024-01-31T23:00:00.000Z,14595
2024-01-31T22:30:00.000Z,14908
2024-01-31T22:00:00.000Z,15490
2024-01-31T21:30:00.000Z,15719
2024-01-31T21:00:00.000Z,15757
2024-01-31T20:30:00.000Z,15827
2024-01-31T20:00:00.000Z,15684
2024-01-31T19:30:00.000Z,15661
2024-01-31T19:00:00.000Z,15812
2024-01-31T18:30:00.000Z,15736
2024-01-31T18:00:00.000Z,15411
2024-01-31T17:30:00.000Z,15654
2024-01-31T17:00:00.000Z,15683
2024-01-31T16:30:00.000Z,15544
2024-01-31T16:00:00.000Z,15762
2024-01-31T15:30:00.000Z,15865
2024-01-31T15:00:00.000Z,15911
2024-01-31T14:30:00.000Z,15691
2024-01-31T14:00:00.000Z,15818
2024-01-31T13:30:00.000Z,15868
2024-01-31T13:00:00.000Z,15997
2024-01-31T12:30:00.000Z,15701
2024-01-31T12:00:00.000Z,15177
2024-01-31T11:30:00.000Z,14739
2024-01-31T11:00:00.000Z,14352
2024-01-31T10:30:00.000Z,14245
2024-01-31T10:00:00.000Z,14183
2024-01-31T09:30:00.000Z,13602
2024-01-31T09:00:00.000Z,13747
2024-01-31T08:30:00.000Z,13321
2024-01-31T08:00:00.000Z,12836
2024-01-31T07:30:00.000Z,12411
2024-01-31T07:00:00.000Z,11728
2024-01-31T06:30:00.000Z,11156
2024-01-31T06:00:00.000Z,10509
2024-01-31T05:30:00.000Z,10010
2024-01-31T05:00:00.000Z,9519
2024-01-31T04:30:00.000Z,8908
2024-01-31T04:00:00.000Z,8687
2024-01-31T03:30:00.000Z,8432
2024-01-31T03:00:00.000Z,8175
2024-01-31T02:30:00.000Z,7964
2024-01-31T02:00:00.000Z,7463
2024-01-31T01:30:00.000Z,7371
2024-01-31T01:00:00.000Z,7248
2024-01-31T00:30:00.000Z,7207
2024-01-31T00:00:00.000Z,7009
2024-01-30T23:30:00.000Z,7049
2024-01-30T23:00:00.000Z,7592
2024-01-30T22:30:00.000Z,7688
2024-01-30T22:00:00.000Z,7214
