startTime,publishTime,generation,horizonHours
2024-01-31T23:00:00.000Z,2024-01-31T22:30:00.000Z,16909,0.5
2024-02-01T00:00:00.000Z,2024-01-31T22:30:00.000Z,16341,1.5
2024-02-01T01:00:00.000Z,2024-01-31T22:30:00.000Z,15630,2.5
2024-02-01T02:00:00.000Z,2024-01-31T22:30:00.000Z,15049,3.5
2024-02-01T03:00:00.000Z,2024-01-31T22:30:00.000Z,14787,4.5
2024-02-01T04:00:00.000Z,2024-01-31T22:30:00.000Z,14303,5.5
2024-02-01T05:00:00.000Z,2024-01-31T22:30:00.000Z,13746,6.5
2024-02-01T06:00:00.000Z,2024-01-31T22:30:00.000Z,13139,7.5
2024-02-01T07:00:00.000Z,2024-01-31T22:30:00.000Z,12561,8.5
2024-02-01T08:00:00.000Z,2024-01-31T22:30:00.000Z,11900,9.5
2024-02-01T09:00:00.000Z,2024-01-31T22:30:00.000Z,11263,10.5
2024-02-01T10:00:00.000Z,2024-01-31T22:30:00.000Z,10817,11.5
2024-02-01T11:00:00.000Z,2024-01-31T22:30:00.000Z,10406,12.5
2024-02-01T12:00:00.000Z,2024-01-31T22:30:00.000Z,10230,13.5
2024-02-01T13:00:00.000Z,2024-01-31T22:30:00.000Z,10117,14.5
2024-02-01T14:00:00.000Z,2024-01-31T22:30:00.000Z,9926,15.5
2024-02-01T15:00:00.000Z,2024-01-31T22:30:00.000Z,9710,16.5
2024-02-01T16:00:00.000Z,2024-01-31T22:30:00.000Z,10111,17.5
2024-02-01T17:00:00.000Z,2024-01-31T22:30:00.000Z,10898,18.5
2024-02-01T18:00:00.000Z,2024-01-31T22:30:00.000Z,11794,19.5
2024-02-01T19:00:00.000Z,2024-01-31T22:30:00.000Z,12754,20.5
2024-02-01T20:00:00.000Z,2024-01-31T22:30:00.000Z,13372,21.5
2024-02-01T21:00:00.000Z,2024-01-31T22:30:00.000Z,14061,22.5
2024-02-01T22:00:00.000Z,2024-01-31T22:30:00.000Z,14822,23.5
2024-02-01T23:00:00.000Z,2024-01-31T22:30:00.000Z,15463,24.5
2024-02-02T00:00:00.000Z,2024-01-31T22:30:00.000Z,16008,25.5
2024-02-02T01:00:00.000Z,2024-01-31T22:30:00.000Z,16477,26.5
2024-02-02T02:00:00.000Z,2024-01-31T22:30:00.000Z,16822,27.5
2024-02-02T03:00:00.000Z,2024-01-31T22:30:00.000Z,17090,28.5
2024-02-02T04:00:00.000Z,2024-01-31T22:30:00.000Z,17282,29.5
2024-02-02T05:00:00.000Z,2024-01-31T22:30:00.000Z,17396,30.5
2024-02-02T06:00:00.000Z,2024-01-31T22:30:00.000Z,17577,31.5
2024-02-02T07:00:00.000Z,2024-01-31T22:30:00.000Z,17526,32.5
2024-02-02T08:00:00.000Z,2024-01-31T22:30:00.000Z,17652,33.5
2024-02-02T09:00:00.000Z,2024-01-31T22:30:00.000Z,17725,34.5
2024-02-02T10:00:00.000Z,2024-01-31T22:30:00.000Z,17469,35.5
2024-02-02T11:00:00.000Z,2024-01-31T22:30:00.000Z,17596,36.5
2024-02-02T12:00:00.000Z,2024-01-31T22:30:00.000Z,17669,37.5
2024-02-02T13:00:00.000Z,2024-01-31T22:30:00.000Z,17650,38.5
2024-02-02T14:00:00.000Z,2024-01-31T22:30:00.000Z,17657,39.5
2024-02-02T15:00:00.000Z,2024-01-31T22:30:00.000Z,17566,40.5
2024-02-02T16:00:00.000Z,2024-01-31T22:30:00.000Z,17672,41.5
2024-02-02T17:00:00.000Z,2024-01-31T22:30:00.000Z,17659,42.5
2024-02-02T18:00:00.000Z,2024-01-31T22:30:00.000Z,17615,43.5
2024-02-02T19:00:00.000Z,2024-01-31T22:30:00.000Z,17857,44.5
2024-02-02T20:00:00.000Z,2024-01-31T22:30:00.000Z,17815,45.5
2024-02-02T21:00:00.000Z,2024-01-31T22:30:00.000Z,17765,46.5
2024-01-31T21:00:00.000Z,2024-01-31T18:30:00.000Z,17912,2.5
2024-01-31T22:00:00.000Z,2024-01-31T18:30:00.000Z,17670,3.5
2024-01-31T23:00:00.000Z,2024-01-31T18:30:00.000Z,17275,4.5
2024-02-01T00:00:00.000Z,2024-01-31T18:30:00.000Z,16696,5.5
2024-02-01T01:00:00.000Z,2024-01-31T18:30:00.000Z,15997,6.5
2024-02-01T02:00:00.000Z,2024-01-31T18:30:00.000Z,15429,7.5
2024-02-01T03:00:00.000Z,2024-01-31T18:30:00.000Z,15130,8.5
2024-02-01T04:00:00.000Z,2024-01-31T18:30:00.000Z,14675,9.5
2024-02-01T05:00:00.000Z,2024-01-31T18:30:00.000Z,14110,10.5
2024-02-01T06:00:00.000Z,2024-01-31T18:30:00.000Z,13497,11.5
2024-02-01T07:00:00.000Z,2024-01-31T18:30:00.000Z,12912,12.5
2024-02-01T08:00:00.000Z,2024-01-31T18:30:00.000Z,12245,13.5
2024-02-01T09:00:00.000Z,2024-01-31T18:30:00.000Z,11608,14.5
2024-02-01T10:00:00.000Z,2024-01-31T18:30:00.000Z,11154,15.5
2024-02-01T11:00:00.000Z,2024-01-31T18:30:00.000Z,10739,16.5
